**********************************
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	2	
0	0	4	
0	0	4	
0	0	13	
0	0	25	
0	0	44	
0	0	122	
0	0	227	
0	0	351	
0	0	523	
0	0	679	
0	0	795	
0	0	816	
0	0	783	
0	0	704	
0	0	502	
0	0	403	
0	0	358	
0	0	321	
0	0	292	
0	0	295	
0	0	278	
0	0	278	
0	0	291	
0	0	276	
0	0	272	
0	0	233	
0	0	165	
1	0	133	
0	13	112	
1	14	81	
0	36	68	
0	49	52	
1	73	40	
0	145	39	
0	236	47	
2	370	51	
2	581	44	
3	787	34	
2	843	18	
5	845	29	
2	712	10	
10	565	13	
7	426	9	
25	382	13	
21	387	13	
25	378	9	
20	354	9	
30	357	3	
36	414	7	
57	406	4	
56	398	4	
96	297	9	
120	253	6	
163	190	7	
238	143	4	
356	109	5	
513	64	1	
715	29	11	
816	17	2	
824	5	5	
796	8	7	
668	4	3	
585	11	7	
492	6	2	
396	9	5	
332	5	6	
266	4	3	
309	6	3	
367	4	5	
331	5	7	
291	6	4	
249	9	12	
212	10	5	
171	5	2	
173	12	5	
142	8	5	
95	17	5	
63	14	2	
32	13	2	
44	13	5	
25	16	2	
24	11	3	
22	8	4	
33	20	4	
36	22	3	
39	24	6	
45	33	3	
61	31	10	
21	23	12	
16	22	5	
12	23	9	
9	27	7	
9	42	9	
9	40	11	
7	55	18	
17	51	33	
18	32	43	
30	26	56	
21	20	49	
23	36	28	
18	32	21	
6	23	25	
9	18	26	
5	6	19	
8	4	26	
8	5	29	
9	4	29	
6	2	36	
1	4	32	
5	9	25	
3	2	33	
2	1	24	
1	3	9	
6	2	5	
1	0	7	
1	2	2	
4	1	0	
2	4	5	
3	1	5	
1	1	3	
2	0	3	
3	0	2	
0	0	1	
1	1	1	
0	2	4	
1	0	2	
0	2	2	
1	1	0	
2	0	1	
0	2	0	
0	4	1	
0	0	0	
1	0	1	
0	0	1	
0	1	2	
0	0	0	
0	0	0	
1	0	0	
0	0	0	
0	0	2	
0	0	1	
0	2	2	
0	0	1	
0	0	0	
0	0	1	
0	1	0	
0	0	1	
0	0	0	
0	0	1	
0	0	1	
0	0	1	
0	0	1	
0	0	0	
0	0	2	
0	0	1	
0	0	0	
0	0	0	
0	0	0	
1	0	1	
1	1	0	
0	0	0	
0	0	0	
0	0	0	
1	0	0	
0	0	1	
0	0	1	
0	0	0	
0	0	2	
0	0	1	
0	1	0	
0	0	0	
0	0	2	
0	1	1	
2	1	4	
2	0	3	
0	0	0	
1	1	0	
0	0	3	
0	1	1	
0	1	1	
1	0	0	
1	1	0	
0	0	0	
0	1	0	
1	1	0	
0	0	0	
0	1	0	
0	0	0	
0	0	1	
1	0	4	
0	0	4	
0	0	6	
1	0	4	
0	1	15	
1	1	9	
1	3	15	
3	4	17	
4	2	12	
2	1	1	
0	1	0	
1	1	0	
0	1	0	
2	1	0	
0	0	0	
0	0	0	
2	1	0	
2	2	0	
2	15	0	
1	42	0	
6	22	0	
7	4	0	
31	0	0	
22	1	0	
14	0	0	
1	1	0	
0	0	0	
